out_msg=[src=56, dest=48, size=5, addr=269312, type=MEMORY_DATA, fixed=src]: in_msg=[src=48, dest=0, size=5, addr=269312, type=DATA_EXCLUSIVE, fixed=None]: delay=3
out_msg=[src=48, dest=0, size=5, addr=269312, type=DATA_EXCLUSIVE, fixed=None]: in_msg=[src=0, dest=48, size=2, addr=269312, type=EXCLUSIVE_UNBLOCK, fixed=None]: delay=3
out_msg=[src=48, dest=0, size=5, addr=269312, type=DATA_EXCLUSIVE, fixed=None]: in_msg=[src=0, dest=8, size=2, addr=168448, type=GET_INSTR, fixed=None]: delay=12
out_msg=[src=0, dest=8, size=2, addr=168448, type=GET_INSTR, fixed=None]: in_msg=[src=8, dest=0, size=2, addr=168448, type=GETS, fixed=des]: delay=4
out_msg=[src=8, dest=0, size=2, addr=168448, type=GETS, fixed=des]: in_msg=[src=0, dest=8, size=5, addr=168448, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=0, dest=8, size=5, addr=168448, type=MEMORY_DATA, fixed=src]: in_msg=[src=8, dest=0, size=5, addr=168448, type=DATA, fixed=None]: delay=3
out_msg=[src=8, dest=0, size=5, addr=168448, type=DATA, fixed=None]: in_msg=[src=0, dest=9, size=2, addr=168512, type=GET_INSTR, fixed=None]: delay=36
out_msg=[src=0, dest=9, size=2, addr=168512, type=GET_INSTR, fixed=None]: in_msg=[src=9, dest=0, size=2, addr=168512, type=GETS, fixed=des]: delay=4
out_msg=[src=9, dest=0, size=2, addr=168512, type=GETS, fixed=des]: in_msg=[src=0, dest=9, size=5, addr=168512, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=0, dest=9, size=5, addr=168512, type=MEMORY_DATA, fixed=src]: in_msg=[src=9, dest=0, size=5, addr=168512, type=DATA, fixed=None]: delay=3
out_msg=[src=9, dest=0, size=5, addr=168512, type=DATA, fixed=None]: in_msg=[src=0, dest=10, size=2, addr=168576, type=GET_INSTR, fixed=None]: delay=70
out_msg=[src=0, dest=10, size=2, addr=168576, type=GET_INSTR, fixed=None]: in_msg=[src=10, dest=0, size=2, addr=168576, type=GETS, fixed=des]: delay=4
out_msg=[src=10, dest=0, size=2, addr=168576, type=GETS, fixed=des]: in_msg=[src=0, dest=10, size=5, addr=168576, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=0, dest=10, size=5, addr=168576, type=MEMORY_DATA, fixed=src]: in_msg=[src=10, dest=0, size=5, addr=168576, type=DATA, fixed=None]: delay=3
out_msg=[src=10, dest=0, size=5, addr=168576, type=DATA, fixed=None]: in_msg=[src=0, dest=11, size=2, addr=168640, type=GET_INSTR, fixed=None]: delay=64
out_msg=[src=0, dest=11, size=2, addr=168640, type=GET_INSTR, fixed=None]: in_msg=[src=11, dest=0, size=2, addr=168640, type=GETS, fixed=des]: delay=4
out_msg=[src=11, dest=0, size=2, addr=168640, type=GETS, fixed=des]: in_msg=[src=0, dest=11, size=5, addr=168640, type=MEMORY_DATA, fixed=src]: delay=65
out_msg=[src=0, dest=11, size=5, addr=168640, type=MEMORY_DATA, fixed=src]: in_msg=[src=11, dest=0, size=5, addr=168640, type=DATA, fixed=None]: delay=3
